Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Aakriti Cyan
",Address,"Tellapur, Hyderabad
",Project Size,"3 Acre
",Launch Date,"Jul 21
",Status,"Under Construction
",Price per Sqft,₹5299 - 6299,Possession by,"Dec 24
",Total Units,"385
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500019
",,,,,,
"
Mahalaxmis Sri Nilayam
",Address,"Plot #21, W Marredpally Rd, Shobana Colony, Simhapuri Colony, West Marredpally, Secunderabad
",Launch Date,"Oct 20
",Status,"Ready To Move
",Price per Sqft,₹4799,Completed in,"Mar 23
",Total Units,"63
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500039
",,,,
"
Praneeth Pranav Solitaire
",Address,"Opposite Keshava Reddy School, Bachupally, Hyderabad.
",Project Size,"4 Acre
",Launch Date,"Aug 22
",Status,"Under Construction
",Price per Sqft,₹5761 - 6299,Possession by,"Dec 24
",Total Units,"668
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502325
",,
"
Westerne County
",Address,"Shankarpally, Nawabpet, Telangana
",Project Size,"100 Acre
",Launch Date,"Feb 23
",Status,"Under Construction
",Price per Sqft,₹1889 - 25000,Completed in,"May 23
",Total Units,"480
",Project Type,"Residential
",Property Type," Plot
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500075
",,,,
"
Ambience Parkview
",Address,"Ambience Parkview, Survey no. 132/P and 110/P, DLF Road, Gachibowli, Serlingampally Mandal Hyderabad
",Project Size,"4 Acre
",Launch Date,"Apr 22
",Status,"Under Construction
",Price per Sqft,₹9766 - 11076,Possession by,"Dec 25
",Total Units,"246
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500032
",,,,
"
Constella
",Address,"Near ORR Exit 14, Sreenagar Village, Tukkuguda, Maheswaram, Hyderabad, Telangana
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹9482 - 10000,Possession by,"Jun 26
",Project Type,"Residential
",Property Type,"Villa
",Pincode,"501359
",,,,,,,,,,,,
"
NCC Urban One
",Address,"Narsingi, APPA Service Rd, Power Welfare Society, Kokapet, Hyderabad, Telangana
",Project Size,"32 Acre
",Launch Date,"Mar 16
",Total Floors,"19
",Status,"Ready To Move
",Price per Sqft,₹7985,Completed in,"Sep 19
",Total Units,"1317
",Total Towers,"12
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
"
"
My Space 2
",Address,"My Space 2 sales office My space 2 gate, Bachupally, Hyderabad, Telangana
",Project Size,"5 Acre
",Launch Date,"Mar 21
",Status,"Under Construction
",Price per Sqft,₹5926 - 6800,Possession by,"Mar 24
",Total Units,"817
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502325
",,,,,,
"
Prajay Treetops
",Project Size,"13 Acre
",Launch Date,"May 21
",Status,"Under Construction
",Price per Sqft,₹6445 - 8509,Possession by,"Jan 24
",Total Units,"125
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500078
",,,,,,
"
Giridhari Prospera County
",Address,"Rajendra Nagar Road, Kismatpur, West Hyderabad, Hyderabad
",Project Size,"12 Acre
",Launch Date,"Jul 20
",Status,"Under Construction
",Completed in,"Dec 23
",Total Units,"121
",Project Type,"Residential
",Property Type,"Villa
",Pincode,"500030
",,,,,,,,,,
"
DSR The First
",Address,"66/2, Opp. to Bio-diversity ParkGachibowli,Serilingampally MandalRanga Reddy,Telangana
",Project Size,"4 Acre
",Launch Date,"May 17
",Status,"Under Construction
",Price per Sqft,₹17252,Completed in,"May 23
",Total Units,"100
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500032
",,,,,,
"
MPR Urban City
",Address,"Survey No.: 198, Patancheru, Sangareddy, Hyderabad
",Project Size,"7 Acre
",Launch Date,"Jun 19
",Status,"Under Construction
",Price per Sqft,₹4462 - 6044,Completed in,"Dec 23
",Total Units,"745
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"502319
",,
"
Senapathi Visthara
",Address,"Thummalakunta Tanda, Thalakondapally, Hyderabad, Andhra Pradesh
",Project Size,"16 Acre
",Launch Date,"Sep 22
",Status,"Under Construction
",Price per Sqft,₹1077,Possession by,"Apr 24
",Total Units,"185
",Project Type,"Residential
",Property Type," Plot
",Commencement Certificate,"No
",Pincode,"509321
",,,,,,
"
Vasavi Crown East
",Address,"Uppal Kalan, East Hyderabad, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹5800 - 6119,Total Units,"286
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500039
",,,,,,,,
"
Vasavi Metropolis
",Address,"Laxmi Narayan Nagar Colony, Ramanthapur, Hyderabad, Telangana, 500039
",Project Size,"2 Acre
",Status,"Under Construction
",Price per Sqft,₹5681 - 6099,Possession by,"Dec 24
",Total Units,"270
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500039
",,,,,,,,
"
Prestige Tranquil
",Address,"Golden Mile Rd, Kokapet, Gachibowli, Telangana 500075
",Project Size,"7 Acre
",Status,"Under Construction
",Price per Sqft,₹6445 - 9243,Possession by,"May 24
",Total Units,"906
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,,,
"
Sattva Lake Ridge
",Address,"Survey No.: 239 AND 240, Plot No. Of Site: KoKapet, Gandipet, Ranga Reddy
",Project Size,"9 Acre
",Launch Date,"Jun 23
",Status,"Under Construction
",Price per Sqft,₹10320 - 12404,Possession by,"Sep 28
",Total Units,"897
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
SNR The Elite
",Address,"Gopanpalle, Hyderabad, Andhra Pradesh
",Project Size,"6 Acre
",Status,"Under Construction
",Price per Sqft,₹6508 - 7500,Possession by,"Dec 24
",Total Units,"680
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500019
",,,,,,,,
"
Vertex Viraat
",Address,"VERTEX VIRAAT, At Madina Guda, Serilingampally, Ranga Reddy, Hyderabad
",Project Size,"8 Acre
",Launch Date,"Jan 23
",Status,"Under Construction
",Price per Sqft,₹7249,Possession by,"Dec 25
",Total Units,"1428
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500049
",,,,,,
"
Luxor
",Address,"Pragathi Nagar, Hyderabad, Telangana
",Project Size,"2 Acre
",Launch Date,"Nov 22
",Status,"Under Construction
",Price per Sqft,₹5755 - 6059,Possession by,"Dec 25
",Total Units,"296
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502325
",,
"
RNP 1
",Address,"Kondapur, Hyderabad
",Project Size,"2 Acre
",Launch Date,"Sep 21
",Status,"Under Construction
",Price per Sqft,₹7899 - 8753,Possession by,"Jun 24
",Total Units,"195
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500084
",,
"
Omsree Prithvi
",Address,"Kowkur, Hyderabad, Andhra Pradesh
",Project Size,"10 Acre
",Launch Date,"Sep 22
",Status,"Under Construction
",Price per Sqft,₹5417 - 6947,Possession by,"May 28
",Total Units,"900
",Total Towers,"11
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500078
",,,,,,
"
Muppas Melody
",Address,"Muppa's Melody, Osman Nagar Village, Tellapur Municipality, Gachibowli Extension, Hyderabad
",Project Size,"8 Acre
",Status,"Ready To Move
",Price per Sqft,₹6454 - 9901,Completed in,"Sep 23
",Total Units,"1054
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500019
",,,,
"
The Regent by Aurobindo Realty
",Address,"Serilingampally, Hyderabad, Telangana
",Project Size,"6 Acre
",Launch Date,"Nov 22
",Status,"Under Construction
",Price per Sqft,₹7199 - 10738,Possession by,"Sep 25
",Total Units,"900
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500084
",,
"
AURIC
",Address,"Bachupally, Hyderabad
",Project Size,"2 Acre
",Launch Date,"Apr 21
",Status,"Under Construction
",Price per Sqft,₹5499 - 5949,Possession by,"Mar 27
",Total Units,"210
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502325
",,
"
Tiara
",Address,"Miyapur, Gandi Misamma Rd, near Hamara Dhaba, Bachupally, Hyderabad, Telangana
",Project Size,"9 Acre
",Launch Date,"Sep 23
",Status,"Under Construction
",Price per Sqft,₹5736 - 5799,Possession by,"Mar 28
",Total Units,"1338
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502325
",,,,,,
"
Sunshine Green Meadows
",Address,"Sy No. 536, Near HP Petrol Bunk, DPS Road Bowrampet Village, Bachupally, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Aug 23
",Status,"Under Construction
",Price per Sqft,₹5500,Possession by,"Dec 25
",Total Units,"236
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502325
",,,,,,
"
Signature 4
",Address,"Sy. No. 394/A6, 394/A1, 394/A/1, 394/A/3, Beside Tripura Meadows, Tellapur -Osman Nagar Road
",Project Size,"3 Acre
",Launch Date,"Oct 22
",Status,"Under Construction
",Price per Sqft,₹6354 - 6564,Possession by,"Dec 24
",Total Units,"293
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500019
",,,,,,
"
SMR Vinay Boulder Woods
",Address,"TSPA Junction, Bandlaguda Jagir, Rajendranagar mandal, Hyderabad, Telangana
",Project Size,"8 Acre
",Status,"Ongoing
",Price per Sqft,₹6240 - 13333,Completed in,"Dec 23
",Total Units,"583
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500093
",,,,
"
Modi Edifice
",Address,"Bachupally, Hyderabad
",Project Size,"14 Acre
",Status,"Ready To Move
",Price per Sqft,₹4224 - 5336,Completed in,"Sep 23
",Total Units,"2261
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502325
",,,,,,,,,,
"
Urbanrise On Cloud 33
",Address,"200 Ft Miyapur - Buchupally Main Road, Next To Mamata Academy of Medical Sciences, Bachupally
",Project Size,"9 Acre
",Launch Date,"Jul 21
",Status,"Under Construction
",Price per Sqft,₹6061 - 7200,Possession by,"Jul 26
",Total Units,"2500
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502325
",,
"
DSR The Classe
",Address,"Narsingi, Ranga Reddy, Kokapet, Hyderabad, Telangana
",Project Size,"6 Acre
",Launch Date,"Dec 19
",Status,"Under Construction
",Price per Sqft,₹8251 - 9444,Possession by,"Dec 25
",Total Units,"461
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Sobha Waterfront
",Status,"Under Construction
",Price per Sqft,₹15602,Project Type,"Residential
",Property Type,"Flat
",Pincode,"500082
",,,,,,,,,,,,,,,,,,
"
Rajapushpa Imperia
",Address,"Sy. No:447, Osman Nagar, near RAJAPUSHPA GREEN DALE, Tellapur, Hyderabad, Telangana
",Project Size,"24 Acre
",Launch Date,"Sep 21
",Status,"Under Construction
",Price per Sqft,₹5941 - 7499,Possession by,"Sep 27
",Total Units,"3008
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500019
",,
"
White Waters AT Y
",Project Size,"7 Acre
",Launch Date,"Dec 21
",Status,"Under Construction
",Price per Sqft,₹5500 - 8127,Possession by,"Dec 24
",Total Units,"816
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500072
",,,,,,,,
"
Prestige Beverly Hills
",Address,"Golden Mile Rd, Kokapet, Hyderabad
",Project Size,"5 Acre
",Launch Date,"Dec 21
",Status,"Under Construction
",Price per Sqft,₹8000 - 9887,Possession by,"Oct 27
",Total Units,"800
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
Janapriya Sitara
",Address,"Silver Crest Villas Near Kapra Lake, Vemunguta, Sainikpuri, Secunderabad,Hyderabad, Andhra Pradesh
",Project Size,"7 Acre
",Launch Date,"Oct 16
",Status,"Under Construction
",Price per Sqft,₹4912 - 6012,Completed in,"Dec 21
",Total Units,"1326
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500094
",,
"
My Home Tarkshya
",Address,"4-305, Kokapet, Telangana
",Project Size,"6 Acre
",Launch Date,"Dec 19
",Status,"Under Construction
",Price per Sqft,₹10067 - 11633,Completed in,"Jul 23
",Total Units,"660
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Kalyan Skyway 9
",Address,"Narsighi, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Mar 21
",Status,"Ready To Move
",Price per Sqft,₹7148 - 7354,Completed in,"Nov 23
",Total Units,"112
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Merlion Galaxia
",Address,"Sy.no-142/A, Sai nagar colony, Telugu University Road, Pragathi Nagar, Hyderabad
",Project Size,"2 Acre
",Launch Date,"Jul 21
",Status,"Under Construction
",Price per Sqft,₹5059 - 6476,Completed in,"Dec 23
",Total Units,"329
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500090
",,
"
Annes Fortunegreenhome Swan
",Address,"Nizampet, Hyderabad, Andhra Pradesh
",Project Size,"1 Acre
",Launch Date,"Oct 22
",Status,"Under Construction
",Price per Sqft,₹6000,Possession by,"Apr 28
",Total Units,"85
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500090
",,,,,,
"
Hallmark Treasor
",Address,"Survey No 155 & 156, Narsinghi Village, Gandipet main road, Gandipet, Hyderabad
",Project Size,"4 Acre
",Launch Date,"Aug 21
",Status,"Under Construction
",Price per Sqft,₹7365 - 11422,Possession by,"Nov 24
",Total Units,"540
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500075
",,
"
Beccun Lifestyle
",Address,"Satyam Enclave, Kompally, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Jul 19
",Total Floors,"7
",Status,"Under Construction
",Price per Sqft,₹4889,Possession by,"Jun 25
",Total Units,"255
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500014
"
"
ASBL Spectra
",Address,"SY.NO 315, Keystone School Rd, Financial District, Hyderabad, Telangana
",Project Size,"8 Acre
",Launch Date,"Oct 21
",Status,"Under Construction
",Price per Sqft,₹7772 - 9771,Possession by,"Dec 25
",Total Units,"1186
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Pincode,"500032
",,,,
"
Sophists Myra
",Address,"NO 203, SURYA RESIDENCY, Secunderabad, Hyderabad
",Project Size,"2 Acre
",Launch Date,"Jul 21
",Status,"Under Construction
",Price per Sqft,₹4571 - 5039,Completed in,"Dec 23
",Total Units,"143
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500014
",,,,,,
"
GHR Callisto
",Address,"H No: 6-45, Kollur, Tellapur, Hyderabad
",Project Size,"8 Acre
",Launch Date,"Jul 22
",Status,"Under Construction
",Price per Sqft,₹5799 - 6643,Possession by,"Dec 25
",Total Units,"1190
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502300
",,
"
Primarks Eco Nest
",Address,"Kompally, Hyderabad
",Project Size,"5 Acre
",Launch Date,"Nov 21
",Status,"Under Construction
",Price per Sqft,₹4399 - 4918,Possession by,"Dec 24
",Total Units,"410
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500014
",,
